_id,data,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,tipo,auto,ciclom,moto,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,num_semaforo,sentido_via,descricao,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
543,2020-01-18T00:00:00,15:34:00,SEM VÍTIMA,FINALIZADA,JIQUIÁ,RUA SAO MIGUEL,1805,,,JIQUIÁ,COLISÃO TRASEIRA,2,,,,,,,,,0,,,SUBURBIO,COLISÃO SEM VITIMA,Longo da via,Bom,Sem defeito,Incompleta,Seca,Perfeito estado,Faixa de pedestre,Outras,60 km/h,Dupla,Faixa contínua,,
544,2020-01-18T00:00:00,16:02:00,SEM VÍTIMA,FINALIZADA,ARRUDA,RUA DAS MOCAS,752,,EM FRENTE A IEADALPE,ARRUDA,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,,SUBURBIO,ENTRE DOIS AUTOS S/V,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa seccionada,,
545,2020-01-18T00:00:00,16:47:00,SEM VÍTIMA,FINALIZADA,TORREÃO,RUA DJALMA FARIAS,109,,EM FRENTE AO Nº 109,TORREÃO,ABALROAMENTO LONGITUDINAL,1,,1,,,,,,,0,,,SUBURBIO,AUTO PASSEIO X MOTO S/V,Longo da via,Bom,Não existe,Não existente,Seca,Mal conservada,Não existe,Não há placas,,Dupla,Não existe,,
546,2020-01-18T00:00:00,17:18:00,SEM VÍTIMA,CANCELADA,CASA AMARELA,AV NORTE,,RUA PADRE LEMOS,E/F A PASSIRA,CASA AMARELA,COLISÃO,2,,,,,,,,,0,,,,ENTRE DOIS AUTOS S/V,,,,,,,,,,,,,
547,2020-01-18T00:00:00,17:55:00,SEM VÍTIMA,CANCELADA,TORRE,RUA FREI JABOATAO,65,,E/F AO CARREFOUR DA TORRE,TORRE,COLISÃO,2,,,,,,,,,0,,,,ENTRE 2 AUTOS. S/V,,,,,,,,,,,,,
548,2020-01-18T00:00:00,20:49:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,RUA ITACARI,162,RUA ITAJAI,GRÁFICA YNOVE,IMBIRIBEIRA,ABALROAMENTO TRANSVERSAL,2,,,,,,,,,1,,,SUBURBIO,SIENA X VOYAGE,Cruzamento,Bom,Não existe,Incompleta,Seca,Mal conservada,Não existe,Placas Pare,,Única,,,
549,2020-01-18T00:00:00,21:26:00,SEM VÍTIMA,FINALIZADA,ÁGUA FRIA,AV BEBERIBE,,RUA DA REGENERACAO,,ÁGUA FRIA,ABALROAMENTO LONGITUDINAL,3,,,,,,,,,0,,187,SUBURBIO,ENTRE 3 AUTOS. S/V,Longo da via,Bom,Não existe,Ilegível,Seca,Perfeito estado,Não existe,Não há placas,,Única,Faixa seccionada,,
550,2020-01-19T00:00:00,00:45:00,SEM VÍTIMA,CANCELADA,CAMPO GRANDE,RUA ODORICO MENDES,,,EM FRENTE AO CLUBE DAS PÁS,CAMPO GRANDE,COLISÃO,4,,,,,,,,,0,,,,COLISÃO ENTRE VEÍCULOS- SEGUIDA DE CHOQUE EM DOIS TÁXIS ESTACIONADOS. SEM VÍTIMAS,,,,,,,,,,,,,
551,2020-01-19T00:00:00,02:29:00,SEM VÍTIMA,FINALIZADA,BOA VISTA,RUA DOM BOSCO,,RUA LUIZ BARBALHO,EM FRENTE AO BATALHÃO DE POLÍCIA RADIOPATRULHA,BOA VISTA,CHOQUE VEÍCULO PARADO,2,,,,,,,,,0,,,CIDADE,AUTO CHOCOU-SE EM UM VEICULO QUE ENCONTRAVA-SE ESTACIONADO (UM DOS ENVOLVIDOS APRESENTA SINTOMAS DE EMBRIAGUEZ),Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,R-6a,,Única,Faixa seccionada,,
552,2020-01-19T00:00:00,06:02:00,SEM VÍTIMA,FINALIZADA,SANTO AMARO,AV NORTE,,,SENAI,SANTO AMARO,COLISÃO TRASEIRA,1,,,,,1,,,,0,,36,,COLISÃO ENTRE AUTO E ÔNIBUS- S/V,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,,Dupla,Canteiro central,,
553,2020-01-19T00:00:00,06:53:00,COM VÍTIMA,FINALIZADA,ROSARINHO,RUA COUTO MAGALHAES,,AV SANTOS DUMONT,DE ESQUINA COM O COLEGIO FAZER CRESCER,ROSARINHO,ABALROAMENTO LONGITUDINAL,1,,1,,,,,,,1,,,SUBURBIO,AUTO E MOTO,Esquina,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,30 km/h,Única,Não existe,,
554,2020-01-19T00:00:00,08:09:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,AV CAXANGA,144,,EM FRENTE AO SEMÁFORO Nº 080,CORDEIRO,COLISÃO TRASEIRA,1,,,,,1,,,,0,,80,SUBURBIO,AUTO E ONIBUS,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,,Dupla,Faixa contínua,Canteiro central,
555,2020-01-19T00:00:00,09:12:00,SEM VÍTIMA,CANCELADA,AFOGADOS,RUA FRANCISCO SILVEIRA,,,APOS O LARGO DA PAZ PRIMEIRA A ESQUERDA / SENT AEROPORTO,AFOGADOS,COLISÃO,1,,,,,,1,,,0,,,,CAMINHAO E AUTO,,,,,,,,,,,,,
556,2020-01-19T00:00:00,09:35:00,SEM VÍTIMA,FINALIZADA,TEJIPIÓ,AV LIBERDADE,364,,PRÓXIMO A DELEGACIA DRACO,TEJIPIÓ,ABALROAMENTO LONGITUDINAL,2,,,,,,,,,0,,,SUBURBIO,SEM VITIMAS,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa contínua,,
557,2020-01-19T00:00:00,09:51:00,COM VÍTIMA,FINALIZADA,PINA,AV HERCULANO BANDEIRA,950,,EM FRENTE A JBS VEICULOS,PINA,CHOQUE OBJETO FIXO,,,,,,,1,,,1,,660,SUBURBIO,CAMINHAO CHOCOU-SE COM A LOJA / MOTORISTA FOI SOCORRIDO POR TERCEIROS,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,60 km/h,Única,Faixa seccionada,,
558,2020-01-19T00:00:00,10:07:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,AV CAXANGA,1417,RUA CONEGO ANTONIO CAVALCANTE,,CORDEIRO,CHOQUE OBJETO FIXO,1,,,,,,,,,0,,,CIDADE,CHOQUE OBJETO FIXO. VEICULO PASSEIO- NAO A VITIMA,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Outras,,Dupla,Não existe,,
559,2020-01-19T00:00:00,13:15:00,SEM VÍTIMA,FINALIZADA,TORREÃO,AV NORTE,1726,,CHEVROLET PEDRAGON,TORREÃO,COLISÃO TRASEIRA,1,,,,,1,,,,0,,376,CIDADE,COLISÃO SEM VÍTIMA,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,,Única,Faixa seccionada,Canteiro central,
560,2020-01-19T00:00:00,13:33:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV SENADOR ROBERT KENNEDY,350,RUA CONDESSA DE BARRAL,REGIONAL SUL,IMBIRIBEIRA,ABALROAMENTO TRANSVERSAL,1,,1,,,,,,,0,,,SUBURBIO,COLISÃO SEM VÍTIMA,,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
561,2020-01-19T00:00:00,15:46:00,COM VÍTIMA,FINALIZADA,DOIS IRMÃOS,RUA DOIS IRMAOS,932,,PRÓX. AO VIADUTO DA BR 101,DOIS IRMÃOS,ABALROAMENTO TRANSVERSAL,1,,1,,,,,,,2,,,SUBURBIO,COLISÃO C/VITIMAS ENTRE UMA MOTO E UM AUTO (V.T 26 NO QTH),Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa contínua,,
562,2020-01-19T00:00:00,16:40:00,SEM VÍTIMA,FINALIZADA,ARRUDA,RUA SAO BENTO,84,,RESIDENCIAL SÃO BENTO,ARRUDA,COLISÃO TRASEIRA,2,,,,,,,,,0,,,SUBURBIO,COLISÃO S/VITIMAS ENTRE DOIS AUTO,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,,Outras,,Única,Faixa seccionada,,
563,2020-01-19T00:00:00,19:37:00,SEM VÍTIMA,CANCELADA,IPUTINGA,AV CAXANGA,,,AO LADO DO VIADUTO DA BR-101- E/F A CHEVROLET,IPUTINGA,COLISÃO,2,,,,,,,,,0,,,,ENTRE DOIS AUTOS S/V,,,,,,,,,,,,,
